id,name,provider,enabled,input_price,cached_input_price,output_price,price_level,context_length,output_length,intelligence,speed,supports_image_input,supports_audio_input,supports_video_input,supports_file_input,reasoning_effort,supports_temperature,supports_frequency_penalty,supports_presence_penalty,timeout
anthropic/claude-sonnet-4.6,Claude Sonnet 4.6,openrouter,TRUE,3,0.3,15,4,200000,8192,5,3,TRUE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
anthropic/claude-opus-4.6,Claude Opus 4.6,openrouter,TRUE,5,0.5,25,5,1000000,8192,5,2,TRUE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
gemini-3-flash-preview,Gemini 3 Flash,google,TRUE,0.5,0.05,3,2,1048576,65536,4,5,TRUE,TRUE,TRUE,TRUE,none,TRUE,FALSE,FALSE,300
google/gemini-3-flash-preview,Gemini 3 Flash,openrouter,TRUE,0.5,0.05,3,2,1048576,65536,4,5,TRUE,TRUE,TRUE,TRUE,none,TRUE,TRUE,TRUE,300
gemini-3.1-pro-preview-customtools,Gemini 3.1 Pro,google,TRUE,2,0.2,12,4,1048576,65536,5,3,TRUE,TRUE,TRUE,TRUE,high,TRUE,FALSE,FALSE,300
google/gemini-3.1-pro-preview-customtools,Gemini 3.1 Pro,openrouter,TRUE,2,0.2,12,4,1048576,65536,5,3,TRUE,TRUE,TRUE,TRUE,high,TRUE,TRUE,TRUE,300
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,google,TRUE,0.25,0.025,1.5,2,1048576,65536,3,5,TRUE,TRUE,TRUE,TRUE,high,TRUE,FALSE,FALSE,300
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,openrouter,TRUE,0.25,0.025,1.5,2,1048576,65536,3,5,TRUE,TRUE,TRUE,TRUE,high,TRUE,TRUE,TRUE,300
gpt-5.4,GPT-5.4,openai,TRUE,2.5,0.25,15,4,272000,128000,5,3,TRUE,FALSE,FALSE,TRUE,high,FALSE,FALSE,FALSE,180
openai/gpt-5.4,GPT-5.4,openrouter,TRUE,2.5,0.25,15,4,272000,128000,5,3,TRUE,FALSE,FALSE,TRUE,high,FALSE,TRUE,TRUE,180
gpt-5.3-codex,GPT-5.3 Codex,openai,TRUE,1.75,0.175,14,4,400000,128000,5,3,TRUE,FALSE,FALSE,TRUE,high,FALSE,FALSE,FALSE,180
openai/gpt-5.3-codex,GPT-5.3 Codex,openrouter,TRUE,1.75,0.175,14,4,400000,128000,5,3,TRUE,FALSE,FALSE,TRUE,high,FALSE,TRUE,TRUE,180
gpt-5.4-nano,GPT-5.4 Nano,openai,TRUE,0.1,0.01,0.625,1,400000,128000,3,5,TRUE,FALSE,FALSE,TRUE,minimal,FALSE,FALSE,FALSE,180
openai/gpt-5.4-nano,GPT-5.4 Nano,openrouter,TRUE,0.1,0.01,0.625,1,400000,128000,3,5,TRUE,FALSE,FALSE,TRUE,minimal,FALSE,TRUE,TRUE,180
gpt-5.4-mini,GPT-5.4 Mini,openai,TRUE,0.375,0.0375,2.25,2,400000,128000,4,4,TRUE,FALSE,FALSE,TRUE,minimal,FALSE,FALSE,FALSE,180
openai/gpt-5.4-mini,GPT-5.4 Mini,openrouter,TRUE,0.375,0.0375,2.25,2,400000,128000,4,4,TRUE,FALSE,FALSE,TRUE,minimal,FALSE,TRUE,TRUE,180
deepseek-chat,Deepseek V3.2,deepseek,TRUE,0.28,,0.42,2,128000,4096,4,3,FALSE,FALSE,FALSE,FALSE,none,TRUE,TRUE,TRUE,300
deepseek/deepseek-v3.2,Deepseek V3.2,openrouter,TRUE,0.28,,0.42,2,128000,4096,4,3,FALSE,FALSE,FALSE,FALSE,none,TRUE,TRUE,TRUE,300
deepseek-reasoner,DeepSeek V3.2 Thinking,deepseek,TRUE,0.28,,0.42,2,128000,32000,5,1,FALSE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
deepseek/deepseek-v3.2-thinking,DeepSeek V3.2 Thinking,openrouter,TRUE,0.28,,0.42,2,128000,32000,5,1,FALSE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
grok-4.20-0309-reasoning,Grok 4.20,xai,TRUE,2,0.2,6,3,2000000,4096,5,3,TRUE,FALSE,FALSE,TRUE,high,TRUE,FALSE,FALSE,180
x-ai/grok-4.20,Grok 4.20,openrouter,TRUE,2,0.2,6,3,2000000,4096,5,3,TRUE,FALSE,FALSE,TRUE,high,TRUE,TRUE,TRUE,180
grok-4-1-fast-non-reasoning,Grok 4.1 Fast,xai,TRUE,0.2,0.05,0.5,2,2000000,4096,3,4,TRUE,FALSE,FALSE,TRUE,none,TRUE,FALSE,FALSE,180
x-ai/grok-4.1-fast,Grok 4.1 Fast,openrouter,TRUE,0.2,0.05,0.5,2,2000000,4096,3,4,TRUE,FALSE,FALSE,TRUE,none,TRUE,TRUE,TRUE,180
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,xai,TRUE,0.2,0.05,0.5,2,2000000,4096,3,4,TRUE,FALSE,FALSE,TRUE,high,TRUE,FALSE,FALSE,180
x-ai/grok-4.1-fast-reasoning,Grok 4.1 Fast Reasoning,openrouter,TRUE,0.2,0.05,0.5,2,2000000,4096,3,4,TRUE,FALSE,FALSE,TRUE,high,TRUE,TRUE,TRUE,180
MiniMax-M2.7,MiniMax M2.7,minimax,TRUE,0.1,0.01,0.4,1,204800,131072,5,3,FALSE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
